,x,y,z,w,ra,dec,redshift,dist
44589,124.41,164.39,-145.99,36.829,129.4728,33.163,,252.61632
44590,16.5,97.39,-155.66,36.329,129.4975,4.3039,,184.3559
44591,102.18,135.24,-119.14,38.109,129.6336,33.3173,,207.18336
44592,108.86,142.92,-123.25,36.469,129.8474,33.9703,,217.86966
44593,82.53,105.8,-88.51,37.219,129.9213,35.1459,,160.7447
44594,102.19,143.94,-131.9,36.439,129.9941,31.1804,,220.36136
44595,96.77,133.12,-118.87,36.119,130.0522,32.2396,,203.01587
44596,146.12,165.29,-116.44,37.359,130.0941,41.4968,,249.45964
44597,166.66,189.32,-134.0,36.319,130.1176,41.3095,,285.61096
44598,46.56,62.88,-54.71,37.369,130.1832,33.2016,,95.472046
44599,28.93,157.6,-239.05,37.459,130.3458,5.5408,,287.78397
44600,124.18,167.95,-144.33,37.199,130.419,33.4549,,253.88782
44601,84.0,109.43,-90.08,36.919,130.4784,35.1841,,164.7584
44602,75.69,104.98,-92.01,36.899,130.5059,32.5079,,158.79427
44603,81.89,107.56,-89.14,37.019,130.5143,34.8649,,161.9292
44604,22.64,120.13,-179.5,36.979,130.5767,5.9279,,217.17282
44605,97.76,126.79,-103.18,37.899,130.5897,35.5311,,190.47003
44606,82.55,105.96,-85.09,36.749,130.6191,36.0376,,159.0042
44607,88.63,117.75,-98.05,36.689,130.6397,34.5256,,177.01453
44608,97.56,129.4,-107.49,36.589,130.6508,34.6152,,194.46443
44609,81.88,105.6,-84.9,37.389,130.6852,35.912,,158.3152
44610,82.63,105.93,-84.59,37.329,130.6881,36.1878,,158.75877
44611,19.14,132.62,-203.9,37.909,130.6887,4.2667,,243.98691
44612,82.01,105.7,-84.62,36.489,130.744,36.0224,,158.29932
44613,145.41,163.56,-108.69,37.659,130.854,42.8026,,244.3552
44614,93.76,107.26,-72.61,37.449,130.9617,42.0717,,159.89952
44615,81.69,108.68,-88.55,35.849,131.029,34.9851,,162.25197
44616,96.74,132.02,-110.06,36.429,131.0854,33.9638,,197.23364
44617,164.45,189.9,-129.14,36.699,131.1055,41.78,,282.45877
44618,85.72,111.26,-87.43,36.819,131.1851,36.2868,,165.44096
44619,97.3,136.39,-115.32,37.139,131.2964,33.1174,,203.3918
44620,23.42,157.82,-232.33,36.649,131.5395,5.0791,,281.83838
44621,120.05,170.85,-144.34,37.239,131.5605,32.8386,,253.842
44622,122.97,170.22,-139.61,36.559,131.6097,34.0449,,252.16547
44623,157.98,179.18,-112.66,37.239,131.897,43.7053,,264.11252
44624,15.59,88.06,-124.65,37.839,131.901,6.5287,,153.41197
44625,21.31,123.0,-174.56,37.269,131.9093,6.3791,,214.60268
44626,21.8,158.33,-230.38,36.699,131.9652,4.9724,,280.39005
44627,22.22,161.14,-234.26,38.039,131.9804,4.9922,,285.19742
44628,22.03,160.82,-233.86,37.009,131.9894,4.9635,,284.6733
44629,21.04,160.03,-233.53,37.289,132.005,4.7527,,283.88123
44630,93.47,135.78,-113.9,36.419,132.018,32.5967,,200.36482
44631,81.36,111.16,-87.68,37.579,132.0537,35.1667,,163.29047
44632,93.14,136.7,-115.1,38.059,132.1179,32.3158,,201.51913
44633,14.66,130.98,-192.88,38.869,132.1295,4.0688,,233.60944
44634,86.7,121.02,-96.78,37.269,132.1898,34.4364,,177.56435
44635,21.39,162.74,-235.38,37.999,132.1969,4.8951,,286.9592
44636,16.15,122.91,-177.56,37.549,132.2234,4.9132,,216.5531
44637,13.51,125.61,-183.8,38.189,132.3387,4.0461,,223.031
44638,17.36,110.53,-155.51,37.909,132.3656,6.0693,,191.57664
44639,14.63,131.57,-190.73,37.819,132.4831,4.2943,,232.1694
44640,92.58,134.48,-109.81,38.019,132.4923,33.1956,,196.75916
44641,165.19,194.77,-122.98,37.279,132.7433,42.8001,,283.45575
44642,15.6,132.67,-187.8,36.999,132.8983,4.8515,,230.46373
44643,20.42,164.11,-230.59,38.019,132.9458,5.164,,283.7619
44644,142.46,184.76,-130.46,37.789,132.9594,38.5784,,267.30304
44645,16.07,163.41,-229.74,37.059,133.3716,4.41,,282.38544
44646,116.07,173.21,-137.6,37.989,133.4205,33.2723,,249.81535
44647,143.58,187.59,-129.05,37.089,133.546,38.9566,,269.18234
44648,118.19,175.93,-137.8,37.509,133.6343,33.6252,,252.80246
44649,128.09,181.05,-134.84,37.679,133.6518,35.7174,,259.5534
