ra,dec,dist,sigma_dist,d_dist
3.0658,28.6489,64.13863,0.8008659688112613,0.10433243085080618
3.1437,0.0498,113.523415,1.0654736740060733,1.0470830774006692
3.1595,5.5053,80.694275,0.8982999220750273,-0.4485171972601244
3.1998,22.0233,55.845226,0.7472966345434724,-0.7472966345434724
3.2041,28.8056,71.9643,0.8483177470735832,-0.8187256773999168
3.2271,33.3614,44.298615,0.6655720471894835,-0.48269019644823374
3.2532,39.2459,46.856148,0.6845155074941692,0.6845155074941692
3.2651,-5.7253,114.81089,1.0714984367697418,-0.8801145427724191
3.3318,-37.5145,148.6372,1.2191685691486638,1.0222596827658421
3.3622,17.4864,46.431255,0.6814048356153631,-0.615258945357034
3.3934,-5.0931,50.357094,0.7096273247275643,0.6610696649143466
3.4263,48.6959,49.38314,0.7027313853813562,0.2705171257154647
3.4367,30.1951,65.62854,0.810114436360691,-0.12689462217400752
3.4854,26.9675,43.35159,0.6584192433396825,-0.0268388316147065
3.4491,-4.4751,105.662895,1.0279245838095323,-0.673072369307859
3.5031,12.9639,13.388435,0.36590210439405785,0.16321875723398344
3.5164,-23.1821,1.6124825,0.1269835619283063,-0.05777542295220976
3.5532,7.4112,54.5706,0.7387191617928969,-0.7387191617928969
3.5774,-6.9836,81.76119,0.9042189447252253,-0.9042189447252253
3.5724,2.2556,20.795252,0.4560181136753232,0.0787032166827928
3.6328,-0.7377,35.79145,0.5982595590544292,0.5982595590544292
3.6521,8.2796,50.852398,0.713108673345094,0.11409140730169548
3.667,18.582,50.3001,0.7092256340544947,-0.08414134205844537
3.6785,-60.3284,44.353733,0.6659859833359859,0.1903562026463283
3.686,-7.3452,51.19915,0.7155358132197158,0.7155358132197158
3.762,16.8371,164.48378,1.282512300135948,0.28136075643373715
3.782,-7.1067,49.74728,0.7053175171509638,-0.2898341741813725
3.7233,-39.1966,1.1749468,0.1083949629826036,0.1083949629826036
3.8221,-6.3452,73.89514,0.85962282426655,0.36856882055283946
3.8187,-57.2449,95.15929,0.9754962326939044,0.9754962326939044
3.8547,-21.4445,0.56160486,0.07494030023959072,0.013731643739642084
3.8786,17.3284,50.869366,0.713227635471313,-0.713227635471313
